days,class_nameordr_tag,,color
1,护理,按呼吸护理常规,
1,护理,护理等级,
1,护理,陪护,
1,处置,吸氧,
1,处置,心电监护,
1,处置,卧床,
1,处置,吸痰,red
1,处置,雾化,red
1,膳食,低盐低脂饮食,
1,药物,抗菌药物,
1,药物,祛痰剂,
1,药物,解痉平喘,red
1,检验,血常规+CRP,
1,检验,尿常规,
1,检验,便常规,
1,检验,血沉,
1,检验,生化,
1,检验,病原学检查及药敏,
1,检验,呼吸道病原九项,red
1,检验,凝血检查,red
1,检验,B型钠尿肽,red
1,检查,胸片,
1,检查,心电图,
1,检查,胸部CT,
1,检查,传染性疾病,
2,护理,按呼吸护理常规,
2,护理,护理等级,
2,护理,陪护,
2,处置,吸氧,
2,处置,心电监护,
2,处置,卧床,
2,膳食,低盐低脂饮食,
2,药物,抗菌药物,
2,药物,祛痰剂,
2,药物,解痉平喘,red
2,检验,D-二聚体,
2,检验,血培养,
2,检验,血气分析,
2,检验,胸部CT,
2,检验,血氧饱和度,
2,检验,降钙素原,red
2,检查,超声,
3,护理,按呼吸护理常规,
3,护理,护理等级,
3,护理,陪护,
3,处置,吸氧,
3,处置,心电监护,
3,处置,卧床,
3,膳食,低盐低脂饮食,
3,药物,抗菌药物,
3,药物,祛痰剂,
3,药物,解痉平喘,red
4,护理,按呼吸护理常规,
4,护理,护理等级,
4,处置,吸氧,
4,膳食,低盐低脂饮食,
4,药物,抗菌药物,
4,药物,祛痰剂,
4,药物,解痉平喘,red
4,检验,血常规,
4,检查,胸片,
4,检查,肺CT,red
5,护理,按呼吸护理常规,
5,护理,护理等级,
5,处置,吸氧,
5,膳食,低盐低脂饮食,
5,药物,抗菌药物,
5,药物,祛痰剂,
5,药物,解痉平喘,red
6,护理,按呼吸护理常规,
6,护理,护理等级,
6,处置,吸氧,
6,膳食,低盐低脂饮食,
6,药物,抗菌药物,
6,药物,祛痰剂,
6,药物,解痉平喘,red
7,护理,按呼吸护理常规,
7,护理,护理等级,
7,处置,吸氧,
7,膳食,低盐低脂饮食,
7,药物,抗菌药物,
7,药物,祛痰剂,
7,药物,解痉平喘,red
8,护理,按呼吸护理常规,
8,护理,护理等级,
8,处置,吸氧,
8,膳食,低盐低脂饮食,
8,药物,抗菌药物,
8,药物,祛痰剂,
8,药物,解痉平喘,red
9,护理,按呼吸护理常规,
9,护理,护理等级,
9,处置,吸氧,
9,膳食,低盐低脂饮食,
9,药物,抗菌药物,
9,药物,祛痰剂,
9,药物,解痉平喘,red
10,护理,按呼吸护理常规,
10,护理,护理等级,
10,处置,吸氧,
10,膳食,低盐低脂饮食,
10,药物,抗菌药物,
10,药物,祛痰剂,
10,药物,解痉平喘,red
11,护理,按呼吸护理常规,
11,护理,护理等级,
11,处置,吸氧,
11,膳食,低盐低脂饮食,
11,药物,抗菌药物,
11,药物,祛痰剂,
11,药物,解痉平喘,red
12,护理,按呼吸护理常规,
12,护理,护理等级,
12,处置,吸氧,
12,膳食,低盐低脂饮食,
12,药物,抗菌药物,
12,药物,祛痰剂,
12,药物,解痉平喘,red
13,护理,按呼吸护理常规,
13,护理,护理等级,
13,处置,吸氧,
13,膳食,低盐低脂饮食,
13,药物,抗菌药物,
13,药物,祛痰剂,
13,药物,解痉平喘,red
14,护理,按呼吸护理常规,
14,护理,护理等级,
14,处置,吸氧,
14,膳食,低盐低脂饮食,
14,药物,抗菌药物,
14,药物,祛痰剂,
14,药物,解痉平喘,red
